ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2025-06-18 00:00:00,1.0811453184,-10.848865251038953,12.2720652386127,1.0811453184,1.0811453184,-0.39915404032274804,-0.39915404032274804,-0.39915404032274804,0.002968209438675991,0.002968209438675991,0.002968209438675991,-0.402122249761424,-0.402122249761424,-0.402122249761424,0.0,0.0,0.0,0.6819912780772519
2025-06-18 01:00:00,1.0916489464592491,-10.987102025083958,11.679076876104713,1.0916489464592491,1.0916489464592491,-0.498952635312253,-0.498952635312253,-0.498952635312253,0.007589090602485917,0.007589090602485917,0.007589090602485917,-0.5065417259147389,-0.5065417259147389,-0.5065417259147389,0.0,0.0,0.0,0.5926963111469962
2025-06-18 02:00:00,1.1021525745184981,-10.996327048833852,11.535047233383827,1.1021525745184981,1.1021525745184981,-0.5925187354875134,-0.5925187354875134,-0.5925187354875134,0.008968965836128242,0.008968965836128242,0.008968965836128242,-0.6014877013236418,-0.6014877013236418,-0.6014877013236418,0.0,0.0,0.0,0.5096338390309847
2025-06-18 03:00:00,1.112656202577747,-10.75602086712322,12.017729818757614,1.112656202577747,1.112656202577747,-0.6783635271294816,-0.6783635271294816,-0.6783635271294816,0.007569372945764719,0.007569372945764719,0.007569372945764719,-0.6859329000752462,-0.6859329000752462,-0.6859329000752462,0.0,0.0,0.0,0.43429267544826555
2025-06-18 04:00:00,1.1231598306369963,-11.032690779622781,11.93270933718707,1.1231598306369963,1.1231598306369963,-0.7535622041824338,-0.7535622041824338,-0.7535622041824338,0.005414313801687849,0.005414313801687849,0.005414313801687849,-0.7589765179841216,-0.7589765179841216,-0.7589765179841216,0.0,0.0,0.0,0.3695976264545625
2025-06-18 05:00:00,1.1336634586962453,-12.412133186186376,11.71057308884222,1.1336634586962453,1.1336634586962453,-0.8156068365184461,-0.8156068365184461,-0.8156068365184461,0.004248177641471461,0.004248177641471461,0.004248177641471461,-0.8198550141599178,-0.8198550141599178,-0.8198550141599178,0.0,0.0,0.0,0.3180566221777992
2025-06-18 06:00:00,1.1441670867554943,-10.902821274031348,11.588320940239218,1.1441670867554943,1.1441670867554943,-0.8637052167774385,-0.8637052167774385,-0.8637052167774385,0.004246024074245547,0.004246024074245547,0.004246024074245547,-0.8679512408516841,-0.8679512408516841,-0.8679512408516841,0.0,0.0,0.0,0.2804618699780558
2025-06-18 07:00:00,1.1546707148147433,-11.446851990091503,12.04059634146155,1.1546707148147433,1.1546707148147433,-0.8984828331659773,-0.8984828331659773,-0.8984828331659773,0.0043189656858009995,0.0043189656858009995,0.0043189656858009995,-0.9028017988517781,-0.9028017988517781,-0.9028017988517781,0.0,0.0,0.0,0.25618788164876594
2025-06-18 08:00:00,1.1651743428739925,-10.991467620472108,11.226430496765076,1.1651743428739925,1.1651743428739925,-0.9206076175101136,-0.9206076175101136,-0.9206076175101136,0.0034949102000651324,0.0034949102000651324,0.0034949102000651324,-0.9241025277101788,-0.9241025277101788,-0.9241025277101788,0.0,0.0,0.0,0.2445667253638789
2025-06-18 09:00:00,1.1756779709332414,-12.536238811105495,12.253180261550641,1.1756779709332414,1.1756779709332414,-0.929795029927047,-0.929795029927047,-0.929795029927047,0.0019170329855629413,0.0019170329855629413,0.0019170329855629413,-0.9317120629126099,-0.9317120629126099,-0.9317120629126099,0.0,0.0,0.0,0.24588294100619446
2025-06-18 10:00:00,1.1861815989924906,-10.28474480740271,11.820091318730162,1.1861815989924906,1.1861815989924906,-0.9251115640794082,-0.9251115640794082,-0.9251115640794082,0.0005418520224598049,0.0005418520224598049,0.0005418520224598049,-0.9256534161018681,-0.9256534161018681,-0.9256534161018681,0.0,0.0,0.0,0.26107003491308245
2025-06-18 11:00:00,1.1966852270517396,-12.057603741794681,12.423680125430101,1.1966852270517396,1.1966852270517396,-0.9061072782825978,-0.9061072782825978,-0.9061072782825978,6.280635666285148e-06,6.280635666285148e-06,6.280635666285148e-06,-0.9061135589182643,-0.9061135589182643,-0.9061135589182643,0.0,0.0,0.0,0.2905779487691418
2025-06-18 12:00:00,1.2071888551109886,-10.489034910049503,11.975685112579763,1.2071888551109886,1.2071888551109886,-0.8735027873363743,-0.8735027873363743,-0.8735027873363743,-6.177174530138745e-05,-6.177174530138745e-05,-6.177174530138745e-05,-0.8734410155910729,-0.8734410155910729,-0.8734410155910729,0.0,0.0,0.0,0.3336860677746143
2025-06-18 13:00:00,1.2176924831702376,-11.710755008477697,11.797591351939804,1.2176924831702376,1.2176924831702376,-0.8287115061925443,-0.8287115061925443,-0.8287115061925443,-0.000570012070196217,-0.000570012070196217,-0.000570012070196217,-0.8281414941223482,-0.8281414941223482,-0.8281414941223482,0.0,0.0,0.0,0.3889809769776933
2025-06-18 14:00:00,1.2281961112294868,-11.968071541652511,12.890225177753482,1.2281961112294868,1.2281961112294868,-0.7727608506718594,-0.7727608506718594,-0.7727608506718594,-0.0018892405877338843,-0.0018892405877338843,-0.0018892405877338843,-0.7708716100841254,-0.7708716100841254,-0.7708716100841254,0.0,0.0,0.0,0.4554352605576274
2025-06-18 15:00:00,1.2386997392887358,-11.697640630225097,11.974198505117778,1.2386997392887358,1.2386997392887358,-0.70582423435268,-0.70582423435268,-0.70582423435268,-0.00339345375464236,-0.00339345375464236,-0.00339345375464236,-0.7024307805980377,-0.7024307805980377,-0.7024307805980377,0.0,0.0,0.0,0.5328755049360557
